task_id,timestamp,hour_of_day,day_of_week,month,shift_type,operator_id,machine_id,machine_type,task_type,weather,soil_condition,operator_skill_level,operator_experience_years,engine_hours,fuel_level_pct,payload_tonnes,temperature_c,distance_m,idle_time_pct,previous_task_time_min,estimated_time_min,actual_time_min,time_delta_min
T01142,2025-08-20 08:02:33,8,2,8,day,OP1019,LDR002,Loader,Demolition,Windy,Rocky,Intermediate,4.5,1860.6,69.9,10.37,31.0,224.0,5,85.5,112.5,117.8,5.3
T01143,2025-01-11 10:50:12,10,5,1,day,OP1021,EXC003,Excavator,Trenching,Windy,Dry,Intermediate,4.3,1155.6,66.8,18.39,24.0,10,53.4,41.9,49.9,65.4,15.5
T01144,2025-08-23 18:36:40,18,5,8,night,OP1053,EXC003,Excavator,Site Clearing,Rainy,Rocky,Intermediate,7.0,2793.1,90.3,9.92,27.3,10,29.7,108.6,101.6,125.7,24.1
T01145,2025-05-24 18:42:25,18,5,5,night,OP1032,DZR003,Dozer,Earth Excavation,Sunny,Dry,Intermediate,3.9,3127.6,53.4,13.26,30.8,32.0,43.8,97.4,59.5,92.9,33.4
T01146,2025-07-03 14:05:29,14,3,7,day,OP1002,BCK002,Backhoe,Grading,Rainy,Loose,Expert,18.3,3985.0,44.6,10.91,31.8,123.7,17.5,72.7,50.2,47.6,-2.6
T01147,2026-06-20 06:22:16,6,5,6,day,OP1026,LDR003,Loader,Material Loading,Rainy,Rocky,Beginner,2.3,4778.1,87.4,10.02,41.3,223.8,14.3,23.8,51.0,96.6,45.6
T01148,2026-07-18 14:32:15,14,5,7,day,OP1033,DZR004,Dozer,Earth Excavation,Rainy,Loose,Expert,17.2,4991.6,71.4,16.61,26.3,124.1,34.7,31.8,84.3,91.9,7.6
T01149,2025-04-25 13:17:53,13,4,4,day,OP1045,BCK001,Backhoe,Demolition,Windy,Dry,Intermediate,6.5,3879.4,82.4,17.95,38.1,72.0,28.8,91.7,98.2,122.9,24.7
T01150,2025-10-20 07:24:47,7,0,10,day,OP1039,BCK001,Backhoe,Foundation Digging,Sunny,Loose,Expert,10.2,5177.0,48.6,11.47,29.8,157.0,17.3,83.7,87.2,87.0,-0.2
T01151,2026-08-02 03:35:46,3,6,8,night,OP1004,GRD001,Grader,Material Loading,Windy,Wet,Intermediate,6.3,6462.5,82.0,9.18,36.8,265.4,26.8,24.0,44.6,38.6,-6.0
T01152,2026-05-07 10:13:21,10,3,5,day,OP1016,LDR003,Loader,Foundation Digging,Windy,Rocky,Beginner,2.9,4458.1,72.5,10.99,38.1,115.7,37.4,67.5,107.6,151.6,44.0
T01153,2026-04-14 06:43:19,6,1,4,day,OP1060,EXC002,Excavator,Foundation Digging,Sunny,Loose,Expert,10.8,3572.6,79.7,12.35,29.6,146.2,22.9,23.1,82.1,76.8,-5.3
T01154,2025-05-29 08:21:34,8,3,5,day,OP1003,GRD002,Grader,Trenching,Foggy,Dry,Expert,20.4,4139.5,59.6,15.22,39.0,157.9,10.4,33.4,55.9,54.0,-1.9
T01155,2026-07-17 09:49:30,9,4,7,day,OP1055,EXC004,Excavator,Material Loading,Foggy,Dry,Expert,12.2,4993.2,77.3,8.82,37.0,162.0,41.1,21.7,39.4,45.2,5.8
T01156,2025-06-18 09:02:12,9,2,6,day,OP1036,GRD003,Grader,Demolition,Rainy,Rocky,Intermediate,3.3,1314.8,76.5,5.06,34.3,107.6,20.8,85.4,128.6,156.8,28.2
T01157,2025-12-09 22:07:54,22,1,12,night,OP1026,EXC006,Excavator,Material Loading,Cloudy,Rocky,Beginner,2.3,5068.8,84.1,7.09,20.8,147.0,24.8,76.0,45.1,75.5,30.4
T01158,2025-02-11 09:08:21,9,1,2,day,OP1056,BCK001,Backhoe,Material Loading,Windy,Loose,Intermediate,4.7,3345.3,71.0,11.5,23.6,119.3,40.5,67.9,36.7,45.8,9.1
T01159,2025-04-23 14:08:14,14,2,4,day,OP1021,DZR001,Dozer,Earth Excavation,Sunny,Loose,Intermediate,4.3,1619.3,63.7,12.64,29.5,202.4,46.7,103.5,60.9,53.3,-7.6
T01160,2026-03-18 12:52:48,12,2,3,day,OP1021,BCK003,Backhoe,Transfer,Cloudy,Rocky,Intermediate,4.3,4543.8,62.4,12.68,26.6,132.6,39.0,63.5,33.2,51.1,17.9
T01161,2025-09-18 10:02:10,10,3,9,day,OP1008,GRD001,Grader,Grading,Cloudy,Rocky,Beginner,1.2,4143.0,52.9,6.98,28.9,76.2,20.4,86.2,51.7,76.2,24.5
T01162,2026-07-31 02:03:45,2,4,7,night,OP1006,GRD001,Grader,Demolition,Cloudy,Dry,Intermediate,3.3,6447.4,63.5,11.4,31.6,160.7,12.8,48.7,105.0,106.4,1.4
T01163,2026-07-31 12:54:19,12,4,7,day,OP1014,GRD002,Grader,Foundation Digging,Cloudy,Dry,Expert,21.2,7265.3,87.7,13.23,33.0,186.3,27.2,34.3,92.0,90.4,-1.6
T01164,2026-06-13 08:33:30,8,5,6,day,OP1060,BCK003,Backhoe,Material Loading,Cloudy,Clay,Expert,10.8,5177.6,53.9,14.18,37.9,161.0,28.5,102.3,40.1,42.0,1.9
T01165,2025-08-02 09:06:36,9,5,8,day,OP1014,LDR002,Loader,Transfer,Rainy,Clay,Expert,21.2,1729.5,65.4,4.72,29.1,60.5,10.7,50.3,31.3,36.6,5.3
T01166,2025-03-14 22:33:54,22,4,3,night,OP1028,GRD002,Grader,Trenching,Sunny,Wet,Beginner,1.6,3589.0,70.9,14.92,27.2,30.1,51.9,31.2,57.1,86.3,29.2
T01167,2025-07-04 23:03:15,23,4,7,night,OP1030,DZR002,Dozer,Grading,Cloudy,Dry,Intermediate,4.1,3816.5,82.4,10.63,25.5,126.3,10.5,40.4,41.2,45.5,4.3
T01168,2025-03-08 14:01:34,14,5,3,day,OP1022,GRD003,Grader,Site Clearing,Sunny,Clay,Beginner,0.6,571.7,62.3,9.3,27.6,262.6,37.5,91.2,74.8,103.2,28.4
T01169,2026-06-08 13:38:47,13,0,6,day,OP1033,EXC006,Excavator,Foundation Digging,Rainy,Wet,Expert,17.2,6387.5,94.8,13.6,27.7,78.4,39.9,57.5,117.9,124.5,6.6
T01170,2026-05-03 02:00:20,2,6,5,night,OP1027,BCK004,Backhoe,Trenching,Sunny,Loose,Intermediate,6.2,4192.7,90.0,9.12,37.4,104.3,23.3,22.8,53.8,47.6,-6.2
T01171,2025-04-08 15:09:37,15,1,4,day,OP1033,DZR001,Dozer,Earth Excavation,Cloudy,Clay,Expert,17.2,1510.1,52.3,14.65,38.6,150.4,29.6,15.1,65.7,68.4,2.7
T01172,2025-06-12 03:45:35,3,3,6,night,OP1017,LDR005,Loader,Trenching,Sunny,Wet,Expert,13.3,1343.6,50.5,16.1,33.0,108.0,17.3,33.7,54.7,54.6,-0.1
T01173,2025-01-24 06:57:50,6,4,1,day,OP1044,DZR002,Dozer,Foundation Digging,Windy,Wet,Beginner,1.1,2636.3,77.5,6.35,19.7,94.8,49.8,73.6,96.8,130.1,33.3
T01174,2026-07-11 01:02:12,1,5,7,night,OP1005,DZR004,Dozer,Material Loading,Windy,Wet,Expert,18.5,4936.4,87.6,6.05,32.4,120.4,35.9,101.2,43.4,48.7,5.3
T01175,2025-09-01 08:44:25,8,0,9,day,OP1042,LDR004,Loader,Foundation Digging,Cloudy,Clay,Beginner,1.3,3708.0,46.5,15.4,21.3,130.3,25.4,64.4,89.1,106.9,17.8
T01176,2025-08-23 23:31:49,23,5,8,night,OP1001,GRD003,Grader,Transfer,Sunny,Loose,Expert,13.7,1801.0,65.4,5.34,31.4,118.8,36.4,78.9,25.2,35.4,10.2
T01177,2026-06-26 10:12:42,10,4,6,day,OP1018,LDR003,Loader,Transfer,Rainy,Clay,Expert,15.8,4823.1,65.7,11.04,37.3,74.3,16.8,32.2,34.6,33.5,-1.1
T01178,2026-06-23 13:55:20,13,1,6,day,OP1027,DZR004,Dozer,Material Loading,Cloudy,Dry,Intermediate,6.2,4808.9,82.1,8.6,31.4,198.1,36.6,108.8,36.0,37.1,1.1
T01179,2025-12-25 14:03:58,14,3,12,day,OP1054,EXC007,Excavator,Grading,Cloudy,Clay,Intermediate,5.0,5980.5,70.0,12.37,18.7,10,35.5,26.2,49.0,58.2,9.2
T01180,2025-12-27 20:51:39,20,5,12,night,OP1059,EXC007,Excavator,Foundation Digging,Sunny,Dry,Expert,22.2,5997.1,57.1,16.9,19.1,175.9,55.2,87.4,85.5,100.3,14.8
T01181,2026-06-06 14:16:50,14,5,6,day,OP1031,GRD003,Grader,Transfer,Windy,Clay,Expert,22.8,3893.3,64.4,9.05,35.5,370.4,21.7,66.0,30.2,30.2,0.0
T01182,2025-02-25 09:42:03,9,1,2,day,OP1050,LDR005,Loader,Transfer,Sunny,Clay,Intermediate,7.7,564.3,69.6,8.19,21.7,241.5,32.6,53.5,26.4,23.0,-3.4
T01183,2025-06-21 10:27:50,10,5,6,day,OP1011,BCK003,Backhoe,Demolition,Cloudy,Dry,Intermediate,6.7,2572.1,32.4,7.64,37.4,218.3,43.0,87.0,90.9,111.5,20.6
T01184,2025-07-08 07:11:22,7,1,7,day,OP1048,DZR002,Dozer,Transfer,Rainy,Clay,Beginner,2.2,3840.9,75.5,3.73,27.5,281.9,25.0,71.3,33.1,22.8,-10.3
T01185,2025-09-03 11:20:21,11,2,9,day,OP1047,EXC005,Excavator,Site Clearing,Rainy,Clay,Beginner,2.8,4578.5,53.5,12.25,34.3,88.4,29.2,35.0,100.6,138.2,37.6
T01186,2026-04-01 01:37:41,1,2,4,night,OP1011,DZR002,Dozer,Foundation Digging,Windy,Rocky,Intermediate,6.7,5788.3,65.5,13.85,29.5,79.1,37.1,20.8,110.8,132.0,21.2
T01187,2025-04-18 15:49:18,15,4,4,day,OP1034,EXC003,Excavator,Transfer,Cloudy,Wet,Beginner,1.3,1865.2,78.1,7.86,32.4,193.2,12.2,66.8,28.2,50.6,22.4
T01188,2025-06-26 10:52:08,10,3,6,day,OP1029,GRD003,Grader,Earth Excavation,Foggy,Wet,Intermediate,8.7,1373.8,92.4,9.91,34.8,136.0,41.2,56.2,74.8,79.2,4.4
T01189,2026-06-24 14:54:48,14,2,6,day,OP1018,DZR002,Dozer,Transfer,Rainy,Rocky,Expert,15.8,6405.5,81.4,7.57,40.4,176.1,22.5,72.0,42.6,43.3,0.7
T01190,2025-03-24 12:07:28,12,0,3,day,OP1036,GRD002,Grader,Demolition,Sunny,Clay,Intermediate,3.3,3658.9,49.0,15.17,27.4,267.1,15.7,33.1,101.3,92.9,-8.4
T01191,2026-07-31 07:43:17,7,4,7,day,OP1038,LDR005,Loader,Trenching,Cloudy,Clay,Beginner,2.4,4367.0,75.1,10.58,38.7,50.8,38.2,69.9,58.4,95.1,36.7
T01192,2025-02-06 11:00:44,11,3,2,day,OP1059,LDR005,Loader,Foundation Digging,Rainy,Clay,Expert,22.2,426.0,71.7,8.7,23.0,156.2,53.0,32.8,95.6,109.7,14.1
T01193,2026-09-08 14:31:58,14,1,9,day,OP1043,LDR002,Loader,Transfer,Windy,Wet,Expert,19.0,4665.8,65.6,6.01,29.7,149.8,6.1,22.3,31.8,32.9,1.1
T01194,2026-08-10 13:27:44,13,0,8,day,OP1050,EXC006,Excavator,Grading,Sunny,Rocky,Intermediate,7.7,6847.4,73.7,13.2,30.4,90.5,23.0,29.2,55.3,52.9,-2.4
T01195,2025-09-27 13:10:52,13,5,9,day,OP1018,LDR001,Loader,Earth Excavation,Cloudy,Clay,Expert,15.8,3590.5,68.4,12.45,28.2,157.6,33.1,28.9,68.6,69.9,1.3
T01196,2025-03-05 11:28:24,11,2,3,day,OP1029,EXC004,Excavator,Site Clearing,Cloudy,Loose,Intermediate,8.7,1351.0,46.4,5.04,29.9,71.2,30.2,17.6,73.5,80.4,6.9
T01197,2026-01-02 00:22:07,0,4,1,night,OP1023,DZR001,Dozer,Demolition,Sunny,Loose,Beginner,2.1,3469.3,64.4,22.71,15.0,29.5,36.4,63.6,96.0,142.4,46.4
T01198,2025-06-14 10:55:39,10,5,6,day,OP1049,DZR003,Dozer,Grading,Windy,Rocky,Beginner,0.8,3278.5,61.3,1.39,29.9,193.7,35.6,20.9,51.1,67.9,16.8
T01199,2025-09-11 19:34:58,19,3,9,night,OP1054,EXC003,Excavator,Site Clearing,Rainy,Rocky,Intermediate,5.0,2932.1,31.2,11.41,21.7,191.0,41.0,80.7,105.8,121.7,15.9
T01200,2026-06-06 18:29:01,18,5,6,night,OP1030,EXC007,Excavator,Demolition,Cloudy,Loose,Intermediate,4.1,7171.7,50.6,5.45,37.6,222.8,17.8,82.0,113.0,123.7,10.7
T01201,2025-05-22 10:33:32,10,3,5,day,OP1022,EXC001,Excavator,Material Loading,Windy,Dry,Beginner,0.6,3460.1,69.4,9.4,36.2,133.6,32.7,39.5,37.2,32.7,-4.5
T01202,2026-04-11 06:49:15,6,5,4,day,OP1038,LDR001,Loader,Grading,Rainy,Loose,Beginner,2.4,5019.3,93.8,16.67,31.5,243.8,42.6,76.5,50.1,66.1,16.0
T01203,2025-02-08 22:23:28,22,5,2,night,OP1055,BCK001,Backhoe,Site Clearing,Foggy,Dry,Expert,12.2,3327.4,60.2,4.78,15.9,237.1,45.8,91.9,77.0,85.5,8.5
T01204,2026-05-16 15:32:14,15,5,5,day,OP1001,EXC005,Excavator,Site Clearing,Rainy,Wet,Expert,13.7,6441.3,97.0,13.13,36.7,126.0,36.7,32.9,107.1,114.5,7.4
T01205,2025-09-12 03:43:35,3,4,9,night,OP1036,EXC008,Excavator,Foundation Digging,Rainy,Clay,Intermediate,3.3,2238.7,63.4,15.09,29.9,67.0,9.7,103.1,99.7,119.9,20.2
T01206,2025-09-15 14:37:07,14,0,9,day,OP1005,DZR002,Dozer,Demolition,Windy,Rocky,Expert,18.5,4346.8,75.2,13.97,26.9,91.4,48.5,42.9,125.5,142.7,17.2
T01207,2026-03-08 00:31:03,0,6,3,night,OP1058,GRD003,Grader,Site Clearing,Sunny,Wet,Intermediate,3.3,3232.1,56.7,2.87,24.0,200.0,38.1,63.3,79.8,94.6,14.8
T01208,2026-01-27 07:59:39,7,1,1,day,OP1052,LDR003,Loader,Site Clearing,Sunny,Wet,Intermediate,5.8,3727.4,47.2,10.51,21.4,206.3,31.5,52.6,81.3,89.8,8.5
T01209,2025-01-06 13:36:41,13,0,1,day,OP1015,EXC003,Excavator,Demolition,Foggy,Rocky,Beginner,0.6,1119.9,87.1,16.93,13.3,202.4,22.7,53.8,120.8,139.5,18.7
T01210,2026-09-15 14:16:58,14,1,9,day,OP1014,EXC003,Excavator,Material Loading,Windy,Dry,Expert,21.2,5624.2,89.2,9.93,28.7,223.9,19.3,27.8,38.9,39.0,0.1
T01211,2025-05-05 23:28:30,23,0,5,night,OP1016,EXC003,Excavator,Demolition,Sunny,Dry,Beginner,2.9,1991.6,98,10.99,33.7,224.9,34.5,46.4,88.0,120.6,32.6
T01212,2026-07-04 12:14:51,12,5,7,day,OP1026,BCK001,Backhoe,Site Clearing,Rainy,Wet,Beginner,2.3,7054.6,84.4,17.1,28.9,180.1,25.4,74.3,112.3,173.1,60.8
T01213,2025-04-01 08:49:01,8,1,4,day,OP1046,BCK004,Backhoe,Grading,Sunny,Dry,Beginner,2.1,1296.7,73.2,13.11,35.5,226.3,51.9,44.6,38.0,78.7,40.7
T01214,2025-07-25 07:10:54,7,4,7,day,OP1019,EXC005,Excavator,Earth Excavation,Rainy,Loose,Intermediate,4.5,4285.3,73.0,10.72,34.4,267.8,20.1,74.0,76.5,75.6,-0.9
T01215,2025-06-07 07:34:55,7,5,6,day,OP1003,EXC002,Excavator,Site Clearing,Cloudy,Clay,Expert,20.4,1302.6,86.2,15.19,38.0,166.3,5,53.6,77.0,75.7,-1.3
T01216,2025-09-12 07:14:06,7,4,9,day,OP1015,BCK001,Backhoe,Material Loading,Cloudy,Clay,Beginner,0.6,4899.6,97.8,11.76,22.2,102.8,25.6,65.9,39.7,61.1,21.4
T01217,2026-04-28 14:05:25,14,1,4,day,OP1040,DZR002,Dozer,Foundation Digging,Rainy,Wet,Intermediate,8.2,5989.2,87.9,7.79,32.6,170.4,32.0,48.6,117.0,127.0,10.0
T01218,2025-10-22 11:50:06,11,2,10,day,OP1041,BCK001,Backhoe,Site Clearing,Sunny,Loose,Intermediate,4.3,5193.0,57.7,12.01,29.8,116.6,5,36.8,79.1,75.7,-3.4
T01219,2026-04-16 21:51:17,21,3,4,night,OP1016,BCK001,Backhoe,Earth Excavation,Cloudy,Loose,Beginner,2.9,6480.8,73.5,0,31.4,185.1,40.1,80.0,72.7,72.7,0.0
T01220,2026-04-21 09:20:54,9,1,4,day,OP1015,LDR003,Loader,Grading,Cloudy,Loose,Beginner,0.6,4341.0,85.2,11.57,37.0,50.5,23.4,95.7,44.1,43.7,-0.4
T01221,2025-07-04 09:33:10,9,4,7,day,OP1006,EXC006,Excavator,Transfer,Windy,Loose,Intermediate,3.3,3911.6,62.5,7.93,37.3,129.4,15.7,116.2,28.9,24.9,-4.0
T01222,2025-02-05 07:14:14,7,2,2,day,OP1047,GRD001,Grader,Material Loading,Sunny,Loose,Beginner,2.8,2499.7,64.1,3.66,18.5,45.9,23.1,70.0,33.6,29.1,-4.5
T01223,2025-05-06 13:52:14,13,1,5,day,OP1042,EXC007,Excavator,Transfer,Sunny,Wet,Beginner,1.3,4279.5,73.9,6.66,45.2,156.9,21.1,59.3,29.3,23.2,-6.1
T01224,2025-01-28 07:36:51,7,1,1,day,OP1047,LDR001,Loader,Grading,Sunny,Dry,Beginner,2.8,1822.2,68.0,13.54,22.0,266.1,34.5,19.3,38.0,66.3,28.3
T01225,2025-07-21 13:05:58,13,0,7,day,OP1023,LDR005,Loader,Grading,Windy,Wet,Beginner,2.1,1631.2,60.4,10.93,27.4,45.5,36.7,72.1,46.4,56.5,10.1
T01226,2025-04-10 19:19:15,19,3,4,night,OP1042,DZR001,Dozer,Foundation Digging,Rainy,Clay,Beginner,1.3,1526.0,75.2,4.59,27.6,178.6,12.8,51.3,99.5,134.6,35.1
T01227,2026-04-15 09:39:41,9,2,4,day,OP1050,GRD002,Grader,Earth Excavation,Sunny,Wet,Intermediate,7.7,6483.2,65.1,4.45,30.1,80.3,28.2,92.2,76.7,82.3,5.6
T01228,2026-08-04 08:14:59,8,1,8,day,OP1044,LDR001,Loader,Trenching,Cloudy,Clay,Beginner,1.1,5859.3,63.5,12.37,25.1,159.2,42.2,43.5,61.7,83.3,21.6
T01229,2026-04-29 09:00:30,9,2,4,day,OP1042,BCK003,Backhoe,Trenching,Rainy,Dry,Beginner,1.3,4849.2,52.1,19.42,36.4,70.9,33.6,78.5,65.9,99.5,33.6
T01230,2025-02-13 18:57:19,18,3,2,night,OP1040,GRD003,Grader,Earth Excavation,Sunny,Wet,Intermediate,8.2,405.3,90.1,12.62,26.6,229.3,32.1,77.3,66.1,84.6,18.5
T01231,2026-05-28 10:54:39,10,3,5,day,OP1043,EXC004,Excavator,Transfer,Windy,Clay,Expert,19.0,4628.5,89.8,9.64,45.3,165.6,17.3,42.7,30.2,26.2,-4.0
T01232,2025-05-02 09:16:01,9,4,5,day,OP1055,EXC001,Excavator,Material Loading,Sunny,Loose,Expert,12.2,3313.7,68.8,16.37,37.8,128.3,35.8,43.1,34.7,37.7,3.0
T01233,2026-01-19 10:58:28,10,0,1,day,OP1045,EXC003,Excavator,Grading,Foggy,Loose,Intermediate,6.5,3878.5,58.3,4.47,20.2,246.5,32.1,52.3,46.1,72.9,26.8
T01234,2026-04-03 11:52:53,11,4,4,day,OP1019,EXC006,Excavator,Grading,Cloudy,Dry,Intermediate,4.5,5905.2,95.0,13.94,28.3,170.4,25.6,54.0,44.5,48.5,4.0
T01235,2025-03-26 08:43:09,8,2,3,day,OP1023,LDR003,Loader,Material Loading,Foggy,Wet,Beginner,2.1,1486.5,52.4,10.33,27.2,172.4,37.6,32.7,40.5,38.0,-2.5
T01236,2025-12-01 15:10:13,15,0,12,day,OP1023,DZR001,Dozer,Foundation Digging,Cloudy,Clay,Beginner,2.1,3240.2,54.3,11.28,9.2,170.6,26.9,79.7,87.5,103.6,16.1
T01237,2026-03-18 11:10:20,11,2,3,day,OP1057,EXC005,Excavator,Material Loading,Cloudy,Dry,Beginner,2.8,6009.3,74.1,15.39,23.2,226.1,6.3,76.5,37.6,40.6,3.0
T01238,2025-11-29 08:25:09,8,5,11,day,OP1053,LDR005,Loader,Foundation Digging,Windy,Rocky,Intermediate,7.0,2586.0,75.9,3.31,29.0,191.1,35.9,74.3,101.9,97.3,-4.6
T01239,2025-05-05 11:28:44,11,0,5,day,OP1001,DZR003,Dozer,Foundation Digging,Sunny,Clay,Expert,13.7,2986.7,62.5,15.53,37.6,64.8,37.0,37.1,84.1,93.1,9.0
T01240,2026-07-22 07:45:59,7,2,7,day,OP1013,LDR004,Loader,Demolition,Sunny,Rocky,Expert,18.9,6072.9,83.2,6.35,36.4,117.5,14.6,39.8,124.7,120.4,-4.3
T01241,2026-01-15 15:40:48,15,3,1,day,OP1029,EXC005,Excavator,Material Loading,Windy,Clay,Intermediate,8.7,5558.0,51.4,21.35,10.4,153.3,34.2,84.6,41.9,51.7,9.8
T01242,2025-10-20 15:17:04,15,0,10,day,OP1002,EXC003,Excavator,Earth Excavation,Windy,Dry,Expert,18.3,3215.5,47.2,10.06,21.7,79.8,29.9,47.7,61.8,57.9,-3.9
T01243,2025-11-14 11:40:04,11,4,11,day,OP1052,DZR002,Dozer,Demolition,Rainy,Wet,Intermediate,5.8,4783.9,67.1,6.76,20.6,57.8,41.7,71.2,132.1,155.7,23.6
T01244,2025-02-04 08:27:59,8,1,2,day,OP1036,GRD002,Grader,Trenching,Rainy,Dry,Intermediate,3.3,3307.4,91.7,9.9,22.0,27.0,14.3,64.8,60.3,61.0,0.7
T01245,2026-02-05 15:35:19,15,3,2,day,OP1059,DZR003,Dozer,Site Clearing,Cloudy,Rocky,Expert,22.2,5002.7,67.1,11.17,20.7,96.9,57.1,74.7,95.5,103.4,7.9
T01246,2026-03-10 23:19:05,23,1,3,night,OP1052,GRD001,Grader,Foundation Digging,Sunny,Dry,Intermediate,5.8,5410.0,55.3,8.07,26.5,171.7,31.9,26.8,83.7,108.4,24.7
T01247,2025-04-26 22:19:40,22,5,4,night,OP1036,EXC003,Excavator,Demolition,Cloudy,Clay,Intermediate,3.3,1925.6,75.1,7.44,36.5,77.6,18.2,50.1,99.7,119.8,20.1
T01248,2026-08-24 20:00:30,20,0,8,night,OP1052,EXC001,Excavator,Demolition,Rainy,Wet,Intermediate,5.8,6813.7,37.8,12.75,30.7,201.4,39.1,48.1,138.8,176.0,37.2
T01249,2025-10-27 22:08:01,22,0,10,night,OP1007,LDR003,Loader,Site Clearing,Sunny,Rocky,Beginner,1.2,3060.1,53.6,13.74,31.0,153.3,24.9,58.1,86.2,121.8,35.6
T01250,2025-09-17 07:39:28,7,2,9,day,OP1051,LDR003,Loader,Demolition,Cloudy,Wet,Expert,11.2,2763.7,59.2,3.02,32.0,112.8,35.5,86.6,104.4,106.5,2.1
T01251,2025-04-23 07:13:02,7,2,4,day,OP1019,EXC006,Excavator,Material Loading,Rainy,Dry,Intermediate,4.5,3385.3,84.5,3.56,31.7,111.8,26.8,31.6,37.8,46.0,8.2
T01252,2025-01-11 15:51:55,15,5,1,day,OP1053,LDR004,Loader,Earth Excavation,Foggy,Dry,Intermediate,7.0,2009.3,53.1,7.18,20.8,145.0,37.9,36.1,66.9,84.2,17.3
T01253,2025-05-12 12:31:08,12,0,5,day,OP1014,LDR004,Loader,Grading,Cloudy,Loose,Expert,21.2,2891.6,72.7,11.88,39.2,150.6,21.0,58.2,41.7,38.3,-3.4
T01254,2025-12-06 18:52:26,18,5,12,night,OP1048,LDR004,Loader,Site Clearing,Foggy,Rocky,Beginner,2.2,4411.9,70.3,19.22,22.4,142.8,26.6,68.3,103.0,150.6,47.6
T01255,2026-04-10 10:49:12,10,4,4,day,OP1059,GRD001,Grader,Trenching,Sunny,Loose,Expert,22.2,5632.5,93.7,13.56,31.4,75.8,57.6,82.1,56.7,58.7,2.0
T01256,2025-05-10 00:46:59,0,5,5,night,OP1032,DZR001,Dozer,Foundation Digging,Rainy,Rocky,Intermediate,3.9,1739.3,73.4,1.58,40.3,174.0,43.2,35.1,106.0,128.1,22.1
T01257,2025-03-12 06:58:23,6,2,3,day,OP1047,GRD003,Grader,Earth Excavation,Sunny,Wet,Beginner,2.8,598.8,73.1,5.39,28.8,157.7,34.3,22.8,66.1,98.1,32.0
T01258,2026-08-08 09:43:06,9,5,8,day,OP1010,EXC003,Excavator,Material Loading,Cloudy,Clay,Intermediate,8.6,5345.4,48.7,8.86,29.9,184.1,33.1,32.1,40.4,51.1,10.7
T01259,2025-10-24 09:31:56,9,4,10,day,OP1059,EXC008,Excavator,Material Loading,Windy,Dry,Expert,22.2,2547.1,81.2,7.31,28.8,236.1,50.0,37.8,35.1,37.3,2.2
T01260,2025-05-08 11:38:56,11,3,5,day,OP1052,BCK002,Backhoe,Transfer,Cloudy,Clay,Intermediate,5.8,3575.4,89.0,19.0,46,42.3,39.3,92.1,28.4,40.4,12.0
T01261,2026-06-01 08:02:38,8,0,6,day,OP1029,EXC008,Excavator,Site Clearing,Sunny,Wet,Intermediate,8.7,4152.6,73.6,9.33,21.4,208.2,51.6,17.8,82.6,113.4,30.8
T01262,2026-04-11 15:46:47,15,5,4,day,OP1017,DZR004,Dozer,Transfer,Cloudy,Clay,Expert,13.3,4276.6,74.0,13.32,30.9,54.4,19.8,36.2,29.1,37.8,8.7
T01263,2025-06-09 22:20:00,22,0,6,night,OP1025,GRD001,Grader,Site Clearing,Windy,Wet,Expert,17.0,3409.5,65.4,8.94,34.6,163.4,46.6,28.1,90.8,97.6,6.8
T01264,2026-06-16 08:21:04,8,1,6,day,OP1044,LDR001,Loader,Material Loading,Sunny,Clay,Beginner,1.1,5501.6,80.3,11.88,37.3,74.3,39.4,38.2,39.4,46.2,6.8
T01265,2025-01-13 09:36:45,9,0,1,day,OP1032,BCK004,Backhoe,Transfer,Windy,Wet,Intermediate,3.9,727.5,91.4,9.31,12.4,250.8,41.8,34.1,29.8,17.8,-12.0
T01266,2025-06-26 20:07:56,20,3,6,night,OP1042,BCK004,Backhoe,Material Loading,Rainy,Clay,Beginner,1.3,1927.9,58.7,20.37,33.0,211.4,13.4,25.5,43.2,41.5,-1.7
T01267,2026-09-18 06:17:32,6,4,9,day,OP1005,EXC005,Excavator,Material Loading,Sunny,Dry,Expert,18.5,7351.0,54.9,5.71,35.0,135.0,39.4,99.8,38.2,52.5,14.3
T01268,2025-09-16 10:39:02,10,1,9,day,OP1037,LDR005,Loader,Earth Excavation,Foggy,Clay,Expert,24.1,2046.5,98,6.56,35.5,125.9,40.3,21.1,70.5,72.6,2.1
T01269,2025-12-13 02:47:52,2,5,12,night,OP1039,EXC005,Excavator,Earth Excavation,Cloudy,Rocky,Expert,10.2,5313.2,64.0,10.68,20.8,121.1,17.7,63.0,82.4,83.0,0.6
T01270,2025-03-07 03:41:56,3,4,3,night,OP1056,EXC001,Excavator,Trenching,Sunny,Rocky,Intermediate,4.7,2903.2,77.0,5.58,26.5,278.0,39.0,33.1,60.5,70.8,10.3
T01271,2025-02-17 12:28:15,12,0,2,day,OP1004,LDR002,Loader,Earth Excavation,Sunny,Dry,Intermediate,6.3,518.8,82.0,9.22,18.7,143.3,24.1,58.5,58.0,65.5,7.5
T01272,2026-03-02 08:10:17,8,0,3,day,OP1040,BCK001,Backhoe,Earth Excavation,Sunny,Loose,Intermediate,8.2,6148.2,68.7,10.57,23.5,180.5,36.5,76.9,69.8,78.3,8.5
